Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-03-16,NI,NISOURCE INC.,Utilities,Utilities,30.9,58.1,27.2
2026-03-16,NKE,"NIKE, INC.",Consumer Discretionary,Consumer Discretionary,-41.3,7.3,48.6
2026-03-16,NOC,NORTHROP GRUMMAN ,Industrials,Industrials,-26.0,47.6,73.6
2026-03-16,NORW,GLBL X MSCI NORWAY ETF,,Foreign,-17.1,60.5,77.6
2026-03-16,NOV,NOV INC.,,MR Discretion,-37.7,11.7,49.4
2026-03-16,NOW,"SERVICENOW, INC.",Information Technology,Information Technology,45.2,82.3,37.1
2026-03-16,NQ=F,NASDAQ 100 FUTURES,,Futures,8.7,33.9,25.2
2026-03-16,NRG,"NRG ENERGY, INC.",Utilities,Utilities,-23.8,2.2,26.0
2026-03-16,NSC,NORFOLK SOUTHERN ,Industrials,Industrials,-31.7,2.2,33.9
2026-03-16,NTAP,"NETAPP, INC.",Information Technology,Information Technology,36.5,49.0,12.5
2026-03-16,NTRS,NORTHERN TRUST ,Financials,Financials,-62.3,7.7,70.0
2026-03-16,NUE,NUCOR ,Materials,Materials,-40.7,1.4,42.1
2026-03-16,NVDA,NVIDIA ,Information Technology,Information Technology,-19.3,36.9,56.2
2026-03-16,NVR,"NVR, INC.",Consumer Discretionary,Consumer Discretionary,-15.8,6.2,22.0
2026-03-16,NWSA,NEWS CORP.,Communication Services,Communication Services,5.1,84.3,79.2
2026-03-16,NXPI,NXP SEMICONDUCTORS NV,Information Technology,Information Technology,-51.2,0.2,51.4
2026-03-16,O,REALTY INCOME ,Real Estate,Real Estate,6.6,27.0,20.4
2026-03-16,ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,Industrials,-59.4,32.5,91.9
2026-03-16,OEF,ISHARES:S&P 100,,Sector & Style ETFs,-9.5,17.3,26.8
2026-03-16,OKE,"ONEOK, INC.",Energy,Energy,-22.6,49.0,71.6
2026-03-16,OMC,OMNICOM GROUP INC.,Communication Services,Communication Services,-10.3,86.7,97.0
2026-03-16,ON,ON SEMICONDUCTOR ,Information Technology,Information Technology,-66.2,2.6,68.8
2026-03-16,ORCL,ORACLE ,Information Technology,Information Technology,3.6,51.4,47.8
2026-03-16,ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,Consumer Discretionary,10.7,14.5,3.8
2026-03-16,OTIS,OTIS WORLDWIDE ,Industrials,Industrials,-39.3,6.5,45.8
2026-03-16,OXY,OCCIDENTAL PETROLEUM ,Energy,Energy,61.9,99.0,37.1
2026-03-16,PAM,PAMPA ENERGIA SA,,MR Discretion,1.9,45.4,43.5
2026-03-16,PANW,"PALO ALTO NETWORKS, INC.",Information Technology,Information Technology,23.4,54.2,30.8
2026-03-16,PAYC,"PAYCOM SOFTWARE, INC.",Industrials,Industrials,16.3,62.9,46.6
2026-03-16,PAYX,"PAYCHEX, INC.",Industrials,Industrials,2.3,70.0,67.7
2026-03-16,PBR,BRAZILIAN PETROLEUM  - PETROBRAS,,MR Discretion,71.0,94.6,23.6
2026-03-16,PCAR,PACCAR INC,Industrials,Industrials,-73.4,1.4,74.8
2026-03-16,PCG,PG&E ,Utilities,Utilities,-24.6,57.3,81.9
2026-03-16,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC.,Utilities,Utilities,-20.2,30.0,50.2
2026-03-16,PEP,"PEPSICO, INC.",Consumer Staples,Consumer Staples,-9.5,16.1,25.6
2026-03-16,PFE,PFIZER INC.,Health Care,Health Care,-17.4,18.1,35.5
2026-03-16,PFF,ISHARES:PREF AND INC SEC,,Bonds,-54.5,4.6,59.1
2026-03-16,PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,Financials,-53.6,20.8,74.4
2026-03-16,PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,Consumer Staples,-31.4,22.4,53.8
2026-03-16,PGR,THE PROGRESSIVE ,Financials,Financials,13.9,64.1,50.2
2026-03-16,PH,PARKER-HANNIFIN ,Industrials,Industrials,-50.4,0.2,50.6
2026-03-16,PHM,"PULTEGROUP, INC.",Consumer Discretionary,Consumer Discretionary,-9.5,0.6,10.1
2026-03-16,PKG,PACKAGING  OF AMERICA,Materials,Materials,-86.5,0.2,86.7
2026-03-16,PLD,"PROLOGIS, INC.",Real Estate,Real Estate,-13.5,14.9,28.4
2026-03-16,PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,Information Technology,42.9,90.3,47.4
2026-03-16,PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,Consumer Staples,-56.3,12.5,68.8
2026-03-16,PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,Financials,-78.9,5.4,84.3
2026-03-16,PNR,PENTAIR PUBLIC LIMITED COMPANY,Industrials,Industrials,-43.3,0.2,43.5
2026-03-16,PNW,PINNACLE WEST CAPITAL ,Utilities,Utilities,24.8,76.0,51.2
2026-03-16,PODD,INSULET ,Health Care,Health Care,30.5,36.7,6.2
2026-03-16,POOL,POOL ,Consumer Discretionary,Consumer Discretionary,-3.2,13.3,16.5
2026-03-16,POWA,INVESCO BLOOMBERG PRICING POWER,,Sector & Style ETFs,-16.3,0.6,16.9
2026-03-16,PPG,"PPG INDUSTRIES, INC.",Materials,Materials,-77.4,1.0,78.4
2026-03-16,PPL,PPL ,Utilities,Utilities,19.2,61.7,42.5
2026-03-16,PPLT,ABRDN:PHYSICAL PLATINUM,,Commodities,-33.7,37.1,70.8
2026-03-16,PRU,"PRUDENTIAL FINANCIAL, INC.",Financials,Financials,-86.5,1.4,87.9
2026-03-16,PSA,PUBLIC STORAGE.,Real Estate,Real Estate,9.9,25.6,15.7
2026-03-16,PSKY,PARAMOUNT SKYDANCE ,Communication Services,Communication Services,30.4,41.5,11.1
2026-03-16,PSX,PHILLIPS 66,Energy,Energy,66.7,80.0,13.3
2026-03-16,PTC,PTC INC.,Information Technology,Information Technology,9.2,54.6,45.4
2026-03-16,PWR,"QUANTA SERVICES, INC.",Industrials,Industrials,47.6,59.5,11.9
2026-03-16,PYPL,"PAYPAL HOLDINGS, INC.",Financials,Financials,88.1,91.1,3.0
2026-03-16,Q,"QNITY ELECTRONICS, INC.",Information Technology,Information Technology,-44.2,27.0,71.2
2026-03-16,QAT,ISHARES:MSCI QATAR,,Foreign,-50.4,2.6,53.0
2026-03-16,QCOM,QUALCOMM INC.,Information Technology,Information Technology,-33.4,8.5,41.9
2026-03-16,QQQ,INVESCO QQQ TRUST 1,,Sector & Style ETFs,10.0,29.6,19.6
2026-03-16,QUAL,ISHARES:MSCI USA QF,,Sector & Style ETFs,-23.4,9.3,32.7
2026-03-16,RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,Consumer Discretionary,-36.9,22.4,59.3
2026-03-16,REG,REGENCY CENTERS ,Real Estate,Real Estate,33.7,70.0,36.3
2026-03-16,REGN,"REGENERON PHARMACEUTICALS, INC.",Health Care,Health Care,-59.5,12.9,72.4
2026-03-16,RF,REGIONS FINANCIAL ,Financials,Financials,-76.6,2.2,78.8
