Date,Ticker,Ticker_name,Close,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_rr_ratio,week_rr_ratio,month_rr_ratio,gap_lt,gap_lt_avg,gap_lt_hi,gap_lt_lo,ST_Trend,st_avg,st_lo,st_hi,MT_Trend,mt_avg,mt_lo,mt_hi,LT_Trend,lt_avg,lt_lo,lt_hi,ST_Trend_Change,MT_Trend_Change,Z-Score Rank,Z-Score,Sharpe,Sharpe_avg,Sharpe_hi,Sharpe_low,Sharpe_Rank,prem_disc,prem_disc_avg,prem_disc_lo,prem_disc_hi,factor,model_score
2026-04-08,ALB,ALBEMARLE ,177.44,165.4,191.67,162.65,207.06,132.51,236.74,1.0262321144674096,2.0027045300878985,1.3198308479857557,-19.860000000000014,-1.327878787878791,11.502190591612315,-14.157948167369899,0.01334213,0.007510432188552178,-0.04227102737866729,0.057291891755771644,0.06292059,0.016563406308724833,-0.07504994040231405,0.10817675301976373,0.03549439,-0.0931339532214763,-0.17719316447092498,-0.009074741972027636,-0.00049519,-0.01135339,14.5,-1.67,0.442,0.2729427609427608,1.1276719934496473,-0.5817864715641257,51.6,0.4257623197114877,0.03097483634450632,-0.27562114368525814,0.3375708163742708,0.392,34.0
2026-04-08,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",172.42,160.48,173.0,143.9,188.49,150.44,225.47,-7.100591715976221,-1.7747355320472895,2.41355777979982,-26.130000000000024,-14.857070707070708,0.4444709428163005,-30.15861235695772,-0.00983057,0.005680507171717169,-0.027874289031877247,0.039235303375311587,-0.03487902,0.019413336711409428,-0.02049166071180295,0.05931833413462181,0.1221843,0.03589661996644294,-0.009162891825557858,0.08095613175844374,0.00351491,-0.00018405,29.6,-0.71,-0.247,0.30773063973063974,1.248776446789845,-0.6333151673285654,28.0,0.407487740844402,0.06766569673129096,-0.44467299770764335,0.5800043911702253,0.355,34.0
2026-04-08,DVN,DEVON ENERGY ,47.91,47.2,53.19,45.17,56.97,37.09,59.1,2.3463414634146385,3.3065693430657004,1.034195933456563,-2.8100000000000023,0.9040740740740727,2.812789478343262,-1.0046413301951165,0.00765245,0.0033713192255892263,-0.02760485391228159,0.03434749236346004,0.06981811,0.003201426510067108,-0.033621526000099856,0.04002437902023407,-0.03579676,-0.0780673366107381,-0.1000421058147409,-0.05609256740673529,-0.01607786,0.00356572,99.4,2.9,0.929,0.30763973063973066,1.127672398189369,-0.5123929369099078,74.8,0.16482689316165544,0.04380682482754869,-0.22065204944067437,0.30826569909577173,0.37625,34.0
2026-04-08,EOG,"EOG RESOURCES, INC.",139.05,136.32,154.56,132.86,163.63,113.33,171.5,2.5964601769911457,3.970920840064619,1.2616640746500767,-14.399999999999977,-4.311750841750842,0.863066131629056,-9.48656781513074,0.01657515,-0.0003023925925925912,-0.024072357493782774,0.02346757230859759,0.06998726,-0.006870649697986561,-0.038873448086920455,0.02513214869094733,0.01139477,-0.009705778389261762,-0.02384053617530476,0.004428979396781234,-0.0118159,0.00138146,88.7,1.78,0.898,0.04945117845117847,0.9524742759792619,-0.8535719190769049,76.0,0.19086723499409186,0.1837614772401541,-0.10736119994362106,0.4748841544239293,0.37625,34.0
2026-04-08,PNW,PINNACLE WEST CAPITAL ,103.12,97.87,106.03,96.39,111.02,90.94,118.45,-1.6421725239616638,1.173848439821692,1.2586206896551715,-8.069999999999993,-5.032996632996634,-2.948771427777748,-7.117221838215519,-0.00600076,0.0008739698316498322,-0.01129339647615859,0.013041336139458256,0.03149299,0.0012143852684563712,-0.011509519744196766,0.01393829028110951,0.04615946,0.023662866073825527,0.012277857202398133,0.035047874945252924,-0.0013109,0.00650265,47.8,-0.16,0.395,0.11703703703703712,0.9698898066266054,-0.7358157325525311,68.1,0.5503333059436928,0.2409601571649079,-0.0636813069753743,0.5456016213051901,0.36725,33.0
2026-04-08,WMB,"THE WILLIAMS COMPANIES, INC.",73.01,70.19,74.84,69.04,80.12,65.07,91.36,-1.5129533678756544,1.7909319899244336,2.3110831234256883,-9.929999999999993,-8.519292929292927,-6.491249710902527,-10.547336147683328,-0.0037367,0.0006925554545454541,-0.0192266077012759,0.02061171861036681,0.04025122,0.005278612550335574,-0.0165308745448812,0.02708809964555235,0.0986823,0.08854542718120803,0.0814651012013306,0.09562575316108546,-0.0021431,-0.00015585,72.0,1.0,-0.259,0.2464343434343433,1.0892983616935186,-0.5964296748248319,30.0,0.43928249651724993,0.18513537922576878,-0.15766286265597584,0.5279336211075134,0.342,33.0
2026-04-08,APTV,APTIV PLC,60.73,53.76,63.61,51.81,69.58,49.33,78.09,-2.2852348993288545,-1.0079096045197733,1.5228070175438604,-6.710000000000001,0.5399326599326619,4.555504544859834,-3.4756392249945103,-0.05765009,-0.001299653737373735,-0.03409160129564289,0.03149229382089542,-0.07414645,0.0066814613087248275,-0.024613185432352736,0.03797610804980239,-0.03840119,-0.05914434335570482,-0.08260339244987559,-0.03568529426153405,0.00080427,-0.05157534,92.3,2.02,-1.141,0.09579797979797994,1.1136183056938211,-0.9220223460978612,10.5,-0.16861376439264042,0.15065989220796724,-0.2723725193505847,0.5736923037665193,0.31125,33.0
2026-04-08,BIIB,BIOGEN INC.,179.9,164.29,186.19,158.89,199.82,146.34,214.3,-3.4537987679671414,-1.0547188755020096,1.0250297973778308,-8.180000000000007,3.5626262626262553,10.580549155341146,-3.4552966300886347,-0.02638036,0.0013490191582491615,-0.025518367933400246,0.028216406249898567,0.00858897,0.00881984640939599,-0.03005644549466307,0.047696138313455046,-0.02766949,-0.08088589060402643,-0.11083905530059698,-0.05093272590745587,0.00110063,-0.014467,92.1,1.92,-0.529,0.14439730639730636,0.9747962684685121,-0.6860016556738995,14.1,0.15536209662563505,0.16296043524223824,-0.10507848515096219,0.4309993556354387,0.34875,33.0
2026-04-08,CTVA,"CORTEVA, INC.",83.96,82.13,88.05,80.32,91.67,70.88,96.58,1.7479338842975314,2.11813186813187,-1.036450079239302,-4.52000000000001,-3.4945117845117832,-1.17052584305029,-5.818497725973277,0.01235632,0.0012096612121212144,-0.021411113241849838,0.023830435666092265,0.04589864,0.0038893237919463155,-0.02715991331653501,0.03493856090042764,0.02775093,0.01328147295302014,-9.67583493054619e-05,0.02665970425534574,-0.00386336,0.00062378,60.5,0.58,1.25,0.3483771043771044,1.263430181711356,-0.5666759729571471,78.8,0.14325477731105374,0.13721036132834602,-0.20231865165631646,0.4767393743130085,0.34875,33.0
2026-04-08,IEX,IDEX ,197.85,184.35,196.45,171.89,214.04,161.18,232.9,-4.715384615384623,-1.6034589252625084,-1.046219686162624,3.019999999999982,-3.515420875420874,3.6496822368467785,-10.680523987688526,0.00793463,-0.00316223696969697,-0.02796254381499989,0.021638069875605948,0.00735933,-0.0066022135234899025,-0.03946504997099317,0.026260622924013367,-0.01991483,-0.02841306352348989,-0.03822731452937157,-0.018598812517608206,0.00838825,0.00196725,86.1,1.48,0.094,-0.054420875420875245,0.884354279693512,-0.9931960305352625,49.4,0.2032494686623756,0.043651809402435175,-0.2642392776775126,0.35154289648238296,0.3035,33.0
