Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-04-16,EOG,"EOG RESOURCES, INC.",Energy,Energy,61.0,24.0,-37.0
2026-04-16,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,-3.0,26.0,29.0
2026-04-16,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,-98.0,-43.0,55.0
2026-04-16,EPOL,ISHARES:MSCI POLAND,,Foreign,-43.0,-43.0,0.0
2026-04-16,EPU,ISHARES:MSCI PERU,,Foreign,-26.0,-3.0,23.0
2026-04-16,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,-12.0,-22.0,-10.0
2026-04-16,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,-65.0,-46.0,19.0
2026-04-16,EQT,EQT ,Energy,Energy,3.0,37.0,34.0
2026-04-16,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,0.0,-23.0,-23.0
2026-04-16,ES,EVERSOURCE ENERGY,Utilities,Utilities,-20.0,16.0,36.0
2026-04-16,ES=F,E-MINI S&P 500 FUTURES,,Futures,-19.0,-10.0,9.0
2026-04-16,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,18.0,-23.0,-41.0
2026-04-16,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,-31.0,-49.0,-18.0
2026-04-16,ETR,ENTERGY ,Utilities,Utilities,38.0,15.0,-23.0
2026-04-16,EVRG,"EVERGY, INC.",Utilities,Utilities,-78.0,-1.0,77.0
2026-04-16,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,-6.0,8.0,14.0
2026-04-16,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,-135.0,-102.0,33.0
2026-04-16,EWC,ISHARES:MSCI CANADA,,Foreign,-74.0,-37.0,37.0
2026-04-16,EWD,ISHARES:MSCI SWEDEN,,Foreign,-53.0,-53.0,0.0
2026-04-16,EWG,ISHARES:MSCI GERMANY,,Foreign,-53.0,-53.0,0.0
2026-04-16,EWH,ISHARES:MSCI HONG KONG,,Foreign,-35.0,24.0,59.0
2026-04-16,EWI,ISHARES:MSCI ITALY,,Foreign,-105.0,-57.0,48.0
2026-04-16,EWJ,ISHARES:MSCI JAPAN,,Foreign,-78.0,-37.0,41.0
2026-04-16,EWK,ISHARES:MSCI BELGIUM,,Foreign,-37.0,-37.0,0.0
2026-04-16,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-101.0,-37.0,64.0
2026-04-16,EWM,ISHARES:MSCI MALAYSIA,,Foreign,16.0,23.0,7.0
2026-04-16,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,-64.0,-74.0,-10.0
2026-04-16,EWO,ISHARES:MSCI AUSTRIA,,Foreign,-90.0,-44.0,46.0
2026-04-16,EWP,ISHARES:MSCI SPAIN,,Foreign,-83.0,-46.0,37.0
2026-04-16,EWQ,ISHARES:MSCI FRANCE,,Foreign,-121.0,-57.0,64.0
2026-04-16,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-60.0,-46.0,14.0
2026-04-16,EWT,ISHARES:MSCI TAIWAN,,Foreign,-65.0,-54.0,11.0
2026-04-16,EWU,ISHARES:MSCI UK,,Foreign,-88.0,-41.0,47.0
2026-04-16,EWW,ISHARES:MSCI MEXICO,,Foreign,-128.0,-57.0,71.0
2026-04-16,EWY,ISHARES:MSCI S KOREA,,Foreign,32.0,24.0,-8.0
2026-04-16,EWZ,ISHARES:MSCI BRAZIL,,Foreign,-32.0,-29.0,3.0
2026-04-16,EXC,EXELON ,Utilities,Utilities,-46.0,15.0,61.0
2026-04-16,EXE,EXPAND ENERGY ,Energy,Energy,68.0,63.0,-5.0
2026-04-16,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,-48.0,-4.0,44.0
2026-04-16,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,-5.0,-10.0,-5.0
2026-04-16,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,-69.0,-46.0,23.0
2026-04-16,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,11.0,11.0,0.0
2026-04-16,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,92.0,36.0,-56.0
2026-04-16,FAST,FASTENAL COMPANY,Industrials,Industrials,-48.0,-19.0,29.0
2026-04-16,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,-99.0,-38.0,61.0
2026-04-16,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,-31.0,-24.0,7.0
2026-04-16,FDX,FEDEX ,Industrials,Industrials,-59.0,-31.0,28.0
2026-04-16,FE,FIRSTENERGY CORP.,Utilities,Utilities,-16.0,16.0,32.0
2026-04-16,FFIV,"F5, INC.",Information Technology,Information Technology,5.0,0.0,-5.0
2026-04-16,FICO,FAIR ISAAC ,Information Technology,Information Technology,-39.0,-39.0,0.0
2026-04-16,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,53.0,15.0,-38.0
2026-04-16,FISV,"FISERV, INC.",Financials,Financials,-6.0,-2.0,4.0
2026-04-16,FITB,FIFTH THIRD BANCORP,Financials,Financials,-101.0,-43.0,58.0
2026-04-16,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,-25.0,-9.0,16.0
2026-04-16,FOXA,FOX ,Communication Services,Communication Services,-17.0,-20.0,-3.0
2026-04-16,FRO,FRONTLINE PLC,,MR Discretion,-1.0,27.0,28.0
2026-04-16,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-5.0,-7.0,-2.0
2026-04-16,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,-25.0,4.0,29.0
2026-04-16,FTI,TECHNIPFMC PLC,,MR Discretion,-50.0,5.0,55.0
2026-04-16,FTNT,"FORTINET, INC.",Information Technology,Information Technology,20.0,15.0,-5.0
2026-04-16,FTV,FORTIVE ,Industrials,Industrials,-70.0,-56.0,14.0
2026-04-16,FVX,5 YR TSY YLD NDX,Yields,Yields,53.0,-8.0,-61.0
2026-04-16,FXA,INVESCO:AU DOLLAR,,Currencies,-30.0,-2.0,28.0
2026-04-16,FXB,INVESCO:GBP STERLING,,Currencies,-99.0,-39.0,60.0
2026-04-16,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,-27.0,6.0,33.0
2026-04-16,FXE,INVESCO:EURO,,Currencies,-86.0,-51.0,35.0
2026-04-16,FXY,INVESCO:JAPANESE YEN,,Currencies,-10.0,-7.0,3.0
2026-04-16,GD,GENERAL DYNAMICS ,Industrials,Industrials,-14.0,13.0,27.0
2026-04-16,GDDY,GODADDY INC.,Information Technology,Information Technology,-2.0,-23.0,-21.0
2026-04-16,GDX,VANECK:GOLD MINERS,,Commodities,-18.0,-18.0,0.0
2026-04-16,GDXJ,VANECK:JR GOLD MINERS,,Commodities,-10.0,-10.0,0.0
2026-04-16,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,0.0,-13.0,-13.0
2026-04-16,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,-78.0,-41.0,37.0
2026-04-16,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,-27.0,-27.0,0.0
2026-04-16,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,66.0,14.0,-52.0
2026-04-16,GEV,GE VERNOVA INC.,Industrials,Industrials,-16.0,-8.0,8.0
2026-04-16,GGB,GERDAU SA,,MR Discretion,-142.0,-72.0,70.0
2026-04-16,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,23.0,8.0,-15.0
2026-04-16,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,-23.0,-23.0,0.0
2026-04-16,GL,GLOBE LIFE INC.,Financials,Financials,5.0,23.0,18.0
2026-04-16,GLATF,GLOBAL ATOMIC ,,MR Discretion,8.0,13.0,5.0
2026-04-16,GLD,SPDR GOLD,Gold,Commodities,-2.0,-2.0,0.0
2026-04-16,GLW,CORNING INC.,Information Technology,Information Technology,50.0,42.0,-8.0
