Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-02-19,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,6.3,6.9,0.6
2026-02-19,FISV,"FISERV, INC.",Financials,Financials,16.6,56.5,39.9
2026-02-19,FITB,FIFTH THIRD BANCORP,Financials,Financials,-24.6,43.5,68.1
2026-02-19,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,-14.3,74.4,88.7
2026-02-19,FOXA,FOX ,Communication Services,Communication Services,-27.0,1.4,28.4
2026-02-19,FRO,FRONTLINE PLC,,MR Discretion,2.0,97.8,95.8
2026-02-19,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,20.2,81.5,61.3
2026-02-19,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,12.3,28.0,15.7
2026-02-19,FTI,TECHNIPFMC PLC,,MR Discretion,-17.1,82.3,99.4
2026-02-19,FTNT,"FORTINET, INC.",Information Technology,Information Technology,15.0,83.1,68.1
2026-02-19,FTV,FORTIVE ,Industrials,Industrials,40.4,70.8,30.4
2026-02-19,FVX,5 YR TSY YLD NDX,Yields,Yields,-82.1,5.8,87.9
2026-02-19,FXA,INVESCO:AU DOLLAR,,Currencies,-7.5,88.7,96.2
2026-02-19,FXB,INVESCO:GBP STERLING,,Currencies,-27.8,35.5,63.3
2026-02-19,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,1.6,71.6,70.0
2026-02-19,FXE,INVESCO:EURO,,Currencies,-7.2,47.0,54.2
2026-02-19,FXY,INVESCO:JAPANESE YEN,,Currencies,4.4,80.8,76.4
2026-02-19,GD,GENERAL DYNAMICS ,Industrials,Industrials,-43.7,10.5,54.2
2026-02-19,GDDY,GODADDY INC.,Information Technology,Information Technology,14.3,18.1,3.8
2026-02-19,GDX,VANECK:GOLD MINERS,,Commodities,-14.9,24.4,39.3
2026-02-19,GDXJ,VANECK:JR GOLD MINERS,,Commodities,-12.1,24.4,36.5
2026-02-19,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,25.0,53.8,28.8
2026-02-19,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,34.9,58.9,24.0
2026-02-19,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,19.4,25.2,5.8
2026-02-19,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,-31.3,5.0,36.3
2026-02-19,GEV,GE VERNOVA INC.,Industrials,Industrials,17.1,90.3,73.2
2026-02-19,GGB,GERDAU SA,,MR Discretion,-78.5,16.5,95.0
2026-02-19,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,-4.4,89.1,93.5
2026-02-19,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,12.7,84.3,71.6
2026-02-19,GL,GLOBE LIFE INC.,Financials,Financials,32.2,76.4,44.2
2026-02-19,GLATF,GLOBAL ATOMIC ,,MR Discretion,-13.5,35.5,49.0
2026-02-19,GLD,SPDR GOLD,Gold,Commodities,-24.4,29.2,53.6
2026-02-19,GLW,CORNING INC.,Information Technology,Information Technology,17.5,77.6,60.1
2026-02-19,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,-12.3,32.3,44.6
2026-02-19,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,6.0,90.7,84.7
2026-02-19,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,-11.5,81.2,92.7
2026-02-19,GOOGL,ALPHABET INC.,Communication Services,Communication Services,-73.1,6.5,79.6
2026-02-19,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,Consumer Discretionary,-82.5,16.9,99.4
2026-02-19,GPN,GLOBAL PAYMENTS INC.,Financials,Financials,57.2,81.2,24.0
2026-02-19,GREK,GLBL X MSCI GREECE,,Foreign,-63.9,22.0,85.9
2026-02-19,GRMN,GARMIN LTD,Consumer Discretionary,Consumer Discretionary,63.1,91.5,28.4
2026-02-19,GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,Financials,-32.2,20.0,52.2
2026-02-19,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,-14.3,74.0,88.3
2026-02-19,HAL,HALLIBURTON COMPANY,Energy,Energy,-25.4,69.6,95.0
2026-02-19,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,-1.0,83.5,84.5
2026-02-19,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,-18.3,34.3,52.6
2026-02-19,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,23.2,78.2,55.0
2026-02-19,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,-52.4,41.1,93.5
2026-02-19,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,63.9,88.7,24.8
2026-02-19,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,-71.8,26.0,97.8
2026-02-19,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,11.1,74.4,63.3
2026-02-19,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,-7.1,92.7,99.8
2026-02-19,HOLX,"HOLOGIC, INC.",Health Care,Health Care,-37.3,30.8,68.1
2026-02-19,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,-11.3,88.1,99.4
2026-02-19,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,1.5,6.9,5.4
2026-02-19,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,30.5,47.4,16.9
2026-02-19,HPQ,HP INC.,Information Technology,Information Technology,34.9,45.8,10.9
2026-02-19,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,-17.5,61.7,79.2
2026-02-19,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,-9.5,40.3,49.8
