Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-03-13,URNM,SPROTT URANIUM MINERS,,MR Discretion,9.0,3.0,-6.0
2026-03-13,USB,U.S. BANCORP,Financials,Financials,-57.0,-13.0,44.0
2026-03-13,USO,UNITED STATES OIL FUND,Energy Complex,Commodities,-15.0,-12.0,3.0
2026-03-13,UUP,INVESCO DB USD IDX BL,,Currencies,-2.0,-9.0,-7.0
2026-03-13,V,VISA INC.,Financials,Financials,15.0,17.0,2.0
2026-03-13,VAL,VALARIS LIMITED,,MR Discretion,35.0,29.0,-6.0
2026-03-13,VICI,VICI PROPERTIES INC.,Real Estate,Real Estate,21.0,28.0,7.0
2026-03-13,VIX,CBOE MKT VOLATILITY IDX,,Volatility,0.0,6.0,6.0
2026-03-13,VLO,VALERO ENERGY ,Energy,Energy,-10.0,-17.0,-7.0
2026-03-13,VLTO,VERALTO ,Industrials,Industrials,32.0,-20.0,-52.0
2026-03-13,VMC,VULCAN MATERIALS COMPANY,Materials,Materials,3.0,0.0,-3.0
2026-03-13,VNM,VANECK:VIETNAM,,Foreign,-51.0,-10.0,41.0
2026-03-13,VRSK,"VERISK ANALYTICS, INC.",Industrials,Industrials,-44.0,-80.0,-36.0
2026-03-13,VRSN,"VERISIGN, INC.",Information Technology,Information Technology,-40.0,-67.0,-27.0
2026-03-13,VRTX,VERTEX PHARMACEUTICALS INC.,Health Care,Health Care,29.0,20.0,-9.0
2026-03-13,VST,VISTRA CORP.,Utilities,Utilities,30.0,-20.0,-50.0
2026-03-13,VTR,"VENTAS, INC.",Real Estate,Real Estate,37.0,34.0,-3.0
2026-03-13,VTRS,VIATRIS INC.,Health Care,Health Care,-6.0,4.0,10.0
2026-03-13,VXN,CBOE NASDAQ MKT VOL NDX,,Volatility,18.0,31.0,13.0
2026-03-13,VZ,VERIZON COMMUNICATIONS INC.,Communication Services,Communication Services,3.0,-23.0,-26.0
2026-03-13,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES ,Industrials,Industrials,-26.0,-18.0,8.0
2026-03-13,WAT,WATERS ,Health Care,Health Care,39.0,32.0,-7.0
2026-03-13,WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,Communication Services,1.0,-15.0,-16.0
2026-03-13,WDAY,"WORKDAY, INC.",Information Technology,Information Technology,-5.0,-15.0,-10.0
2026-03-13,WDC,WESTERN DIGITAL ,Information Technology,Information Technology,48.0,54.0,6.0
2026-03-13,WEAT,TEUCRIUM:WHEAT,,Commodities,-37.0,-39.0,-2.0
2026-03-13,WEC,"WEC ENERGY GROUP, INC.",Utilities,Utilities,29.0,58.0,29.0
2026-03-13,WELL,WELLTOWER INC.,Real Estate,Real Estate,68.0,66.0,-2.0
2026-03-13,WFC,WELLS FARGO & COMPANY,Financials,Financials,-40.0,-20.0,20.0
2026-03-13,WM,"WASTE MANAGEMENT, INC.",Industrials,Industrials,23.0,-20.0,-43.0
2026-03-13,WMB,"THE WILLIAMS COMPANIES, INC.",Energy,Energy,54.0,15.0,-39.0
2026-03-13,WMT,WALMART INC.,Consumer Staples,Consumer Staples,42.0,32.0,-10.0
2026-03-13,WRB,W. R. BERKLEY ,Financials,Financials,-7.0,13.0,20.0
2026-03-13,WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,Consumer Discretionary,-22.0,-35.0,-13.0
2026-03-13,WST,"WEST PHARMACEUTICAL SERVICES, INC.",Health Care,Health Care,51.0,-6.0,-57.0
2026-03-13,WTW,WILLIS TOWERS WATSON,Financials,Financials,19.0,-3.0,-22.0
2026-03-13,WY,WEYERHAEUSER COMPANY,Real Estate,Real Estate,38.0,-4.0,-42.0
2026-03-13,WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,Consumer Discretionary,3.0,21.0,18.0
2026-03-13,XEL,XCEL ENERGY INC.,Utilities,Utilities,6.0,26.0,20.0
2026-03-13,XES,SPDR S&P OIL&GAS E&S,,MR Discretion,-10.0,5.0,15.0
2026-03-13,XLB,SEL SECTOR:MATRLS SPDR,,Sector & Style ETFs,-13.0,11.0,24.0
2026-03-13,XLC,SEL SECTOR:COMM SVC SPDR,,Sector & Style ETFs,2.0,-16.0,-18.0
2026-03-13,XLE,SEL SECTOR:ENERGY SPDR,,Sector & Style ETFs,-30.0,-20.0,10.0
2026-03-13,XLF,SEL SECTOR:FINL S SPDR,,Sector & Style ETFs,-10.0,-33.0,-23.0
2026-03-13,XLI,SEL SECTOR:INDUST SPDR,,Sector & Style ETFs,-15.0,13.0,28.0
2026-03-13,XLK,SEL SECTOR:TECH SPDR,,Sector & Style ETFs,19.0,14.0,-5.0
2026-03-13,XLP,SEL SECTOR:C STP SPDR,,Sector & Style ETFs,26.0,31.0,5.0
2026-03-13,XLRE,SEL SECTOR:RL EST SPDR,,Sector & Style ETFs,53.0,36.0,-17.0
2026-03-13,XLU,SEL SECTOR:UTIL SPDR,,Sector & Style ETFs,8.0,14.0,6.0
2026-03-13,XLV,SEL SECTOR:H CARE SPDR,,Sector & Style ETFs,5.0,44.0,39.0
2026-03-13,XLY,SEL SECTOR:C DSC SPDR,,Sector & Style ETFs,40.0,8.0,-32.0
2026-03-13,XOM,EXXON MOBIL ,Energy,Energy,-34.0,17.0,51.0
2026-03-13,XOP,SPDR S&P OIL&GAS EXP,,MR Discretion,-17.0,-43.0,-26.0
2026-03-13,XYL,XYLEM INC.,Industrials,Industrials,34.0,17.0,-17.0
2026-03-13,XYZ,"BLOCK, INC.",Financials,Financials,1.0,-46.0,-47.0
2026-03-13,YUM,"YUM! BRANDS, INC.",Consumer Discretionary,Consumer Discretionary,51.0,38.0,-13.0
2026-03-13,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Health Care,Health Care,34.0,5.0,-29.0
2026-03-13,ZBRA,ZEBRA TECHNOLOGIES ,Information Technology,Information Technology,1.0,-41.0,-42.0
2026-03-13,ZTS,ZOETIS INC.,Health Care,Health Care,54.0,23.0,-31.0
