Ticker,Ticker_name,Exposure,Date,wtd_pct_change
PEP,"PEPSICO, INC.",Consumer Staples,2026-02-20,-0.006
PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,2026-02-20,0.0044
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2026-02-20,-0.0219
SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,2026-02-20,-0.0014
STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,2026-02-20,0.0476
SYY,SYSCO ,Consumer Staples,2026-02-20,-0.0047
TAP,MOLSON COORS BEVERAGE COMPANY,Consumer Staples,2026-02-20,-0.0631
TGT,TARGET ,Consumer Staples,2026-02-20,0.008
TSN,"TYSON FOODS, INC.",Consumer Staples,2026-02-20,-0.0013
WMT,WALMART INC.,Consumer Staples,2026-02-20,-0.0814
APA,APA ,Energy,2026-02-20,0.0408
BKR,BAKER HUGHES COMPANY,Energy,2026-02-20,0.0165
COP,CONOCOPHILLIPS,Energy,2026-02-20,-0.0081
CTRA,COTERRA ENERGY INC.,Energy,2026-02-20,-0.0029
CVX,CHEVRON ,Energy,2026-02-20,0.001
DVN,DEVON ENERGY ,Energy,2026-02-20,-0.006
EOG,"EOG RESOURCES, INC.",Energy,2026-02-20,0.0195
EQT,EQT ,Energy,2026-02-20,0.0307
EXE,EXPAND ENERGY ,Energy,2026-02-20,0.0385
FANG,"DIAMONDBACK ENERGY, INC.",Energy,2026-02-20,0.0406
HAL,HALLIBURTON COMPANY,Energy,2026-02-20,0.0339
KMI,"KINDER MORGAN, INC.",Energy,2026-02-20,0.0127
MPC,MARATHON PETROLEUM ,Energy,2026-02-20,-0.032
OKE,"ONEOK, INC.",Energy,2026-02-20,0.0142
OXY,OCCIDENTAL PETROLEUM ,Energy,2026-02-20,0.1252
PSX,PHILLIPS 66,Energy,2026-02-20,-0.0252
SLB,SCHLUMBERGER N.V.,Energy,2026-02-20,0.0091
TPL,TEXAS PACIFIC LAND ,Energy,2026-02-20,0.1563
TRGP,TARGA RESOURCES CORP.,Energy,2026-02-20,0.0333
VLO,VALERO ENERGY ,Energy,2026-02-20,0.0029
WMB,"THE WILLIAMS COMPANIES, INC.",Energy,2026-02-20,0.0097
XOM,EXXON MOBIL ,Energy,2026-02-20,-0.0079
UNG,UNITED STATES NAT GAS,Energy Complex,2026-02-20,-0.0346
USO,UNITED STATES OIL FUND,Energy Complex,2026-02-20,0.0607
ACGL,ARCH CAPITAL GROUP LTD.,Financials,2026-02-20,0.0011
AFL,AFLAC INC.,Financials,2026-02-20,-0.0077
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,2026-02-20,0.0277
AIZ,"ASSURANT, INC.",Financials,2026-02-20,0.0314
AJG,ARTHUR J. GALLAGHER & CO.,Financials,2026-02-20,0.0387
ALL,THE ALLSTATE ,Financials,2026-02-20,-0.0055
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-02-20,-0.0042
AON,AON PLC,Financials,2026-02-20,0.0105
