Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-04-13,KKR,KKR & CO. INC.,Financials,Financials,5.4,87.7,82.3
2026-04-13,KLAC,KLA ,Information Technology,Information Technology,3.2,87.1,83.9
2026-04-13,KMB,KIMBERLY-CLARK ,Consumer Staples,Consumer Staples,-11.5,57.7,69.2
2026-04-13,KMI,"KINDER MORGAN, INC.",Energy,Energy,-10.3,8.9,19.2
2026-04-13,KO,THE COCA-COLA COMPANY,Consumer Staples,Consumer Staples,-9.9,37.9,47.8
2026-04-13,KR,THE KROGER CO.,Consumer Staples,Consumer Staples,-3.9,3.0,6.9
2026-04-13,KVUE,KENVUE INC.,Consumer Staples,Consumer Staples,-8.0,47.8,55.8
2026-04-13,L,LOEWS ,Financials,Financials,11.9,50.6,38.7
2026-04-13,LDOS,"LEIDOS HOLDINGS, INC.",Industrials,Industrials,2.8,3.8,1.0
2026-04-13,LEN,LENNAR ,Consumer Discretionary,Consumer Discretionary,-5.2,31.5,36.7
2026-04-13,LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,Health Care,4.4,41.1,36.7
2026-04-13,LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,Industrials,5.5,22.8,17.3
2026-04-13,LII,LENNOX INTERNATIONAL INC.,Industrials,Industrials,7.2,76.4,69.2
2026-04-13,LIN,LINDE PUBLIC LIMITED COMPANY,Materials,Materials,4.4,67.3,62.9
2026-04-13,LITE,LUMENTUM HOLDINGS INC.,Information Technology,Information Technology,-1.9,68.1,70.0
2026-04-13,LLY,ELI LILLY AND COMPANY,Health Care,Health Care,-9.5,16.1,25.6
2026-04-13,LMT,LOCKHEED MARTIN ,Industrials,Industrials,9.9,20.8,10.9
2026-04-13,LNT,ALLIANT ENERGY ,Utilities,Utilities,-17.8,41.1,58.9
2026-04-13,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,5.6,63.7,58.1
2026-04-13,LQD,ISHARES:IBOXX $IG CORP,Bonds,Bonds,13.5,76.4,62.9
2026-04-13,LRCX,LAM RESEARCH ,Information Technology,Information Technology,1.6,70.8,69.2
2026-04-13,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,Consumer Discretionary,-1.2,72.8,74.0
2026-04-13,LUV,SOUTHWEST AIRLINES CO.,Industrials,Industrials,-1.6,43.8,45.4
2026-04-13,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,Consumer Discretionary,8.4,53.8,45.4
2026-04-13,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,Materials,11.1,57.7,46.6
2026-04-13,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,Communication Services,30.6,66.9,36.3
2026-04-13,MA,MASTERCARD INC..,Financials,Financials,7.1,69.2,62.1
2026-04-13,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,Real Estate,4.2,62.1,57.9
2026-04-13,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,Consumer Discretionary,5.1,94.2,89.1
2026-04-13,MAS,MASCO ,Industrials,Industrials,5.2,67.7,62.5
2026-04-13,MCD,MCDONALD'S ,Consumer Discretionary,Consumer Discretionary,-3.6,9.7,13.3
2026-04-13,MCHI,ISHARES:MSCI CHINA,,Foreign,1.2,46.2,45.0
2026-04-13,MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,Information Technology,12.7,89.1,76.4
2026-04-13,MCK,MCKESSON ,Health Care,Health Care,0.0,2.6,2.6
2026-04-13,MCO,MOODY'S ,Financials,Financials,12.9,61.1,48.2
2026-04-13,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,Consumer Staples,-7.5,88.3,95.8
2026-04-13,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,Health Care,10.3,49.4,39.1
2026-04-13,MDY,SPDR S&P MIDCAP 400 ETF,,Sector & Style ETFs,15.5,86.3,70.8
2026-04-13,MET,"METLIFE, INC.",Financials,Financials,4.7,95.8,91.1
2026-04-13,META,"META PLATFORMS, INC.",Communication Services,Communication Services,10.5,57.5,47.0
2026-04-13,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Consumer Discretionary,-7.9,49.0,56.9
2026-04-13,MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,Consumer Staples,-6.6,32.7,39.3
2026-04-13,MLM,"MARTIN MARIETTA MATERIALS, INC.",Materials,Materials,6.2,87.9,81.7
2026-04-13,MMM,3M COMPANY,Industrials,Industrials,1.8,54.8,53.0
2026-04-13,MNST,MONSTER BEVERAGE ,Consumer Staples,Consumer Staples,-2.0,21.2,23.2
2026-04-13,MO,"ALTRIA GROUP, INC.",Consumer Staples,Consumer Staples,-10.9,29.2,40.1
2026-04-13,MOS,THE MOSAIC COMPANY,Materials,Materials,3.6,14.9,11.3
2026-04-13,MP,MP MATERIALS CORP,,MR Discretion,17.2,48.2,31.0
2026-04-13,MPC,MARATHON PETROLEUM ,Energy,Energy,9.5,32.3,22.8
2026-04-13,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",Information Technology,Information Technology,0.8,95.0,94.2
2026-04-13,MRK,"MERCK & CO., INC.",Health Care,Health Care,-6.1,65.3,71.4
2026-04-13,MRNA,"MODERNA, INC.",Health Care,Health Care,2.0,31.2,29.2
2026-04-13,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Financials,Financials,12.3,72.4,60.1
2026-04-13,MS,MORGAN STANLEY,Financials,Financials,5.9,95.4,89.5
2026-04-13,MSCI,MSCI INC.,Financials,Financials,6.0,52.6,46.6
2026-04-13,MSFT,MICROSOFT ,Information Technology,Information Technology,24.2,34.3,10.1
2026-04-13,MSI,"MOTOROLA SOLUTIONS, INC.",Information Technology,Information Technology,-1.0,17.1,18.1
2026-04-13,MTB,M&T BANK ,Financials,Financials,6.7,95.8,89.1
2026-04-13,MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,Health Care,2.4,99.8,97.4
2026-04-13,MTUM,ISHARES:MSCI USA MOM FCT,,Sector & Style ETFs,3.5,83.9,80.4
2026-04-13,MU,"MICRON TECHNOLOGY, INC.",Information Technology,Information Technology,-4.0,24.0,28.0
2026-04-13,MUB,ISHARES:NATL MUNI BOND,,Bonds,-2.3,43.5,45.8
2026-04-13,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,Consumer Discretionary,9.9,63.3,53.4
2026-04-13,NDAQ,"NASDAQ, INC.",Financials,Financials,9.5,47.8,38.3
2026-04-13,NDSN,NORDSON ,Industrials,Industrials,10.4,54.4,44.0
2026-04-13,NDX,NASDAQ 100 INDEX,,Indices,11.7,62.7,51.0
2026-04-13,NEE,"NEXTERA ENERGY, INC.",Utilities,Utilities,-29.0,33.5,62.5
2026-04-13,NEM,NEWMONT ,Materials,Materials,1.4,38.1,36.7
2026-04-13,NFLX,"NETFLIX, INC.",Communication Services,Communication Services,-3.6,82.3,85.9
2026-04-13,NI,NISOURCE INC.,Utilities,Utilities,-26.4,35.9,62.3
2026-04-13,NKE,"NIKE, INC.",Consumer Discretionary,Consumer Discretionary,1.6,14.1,12.5
2026-04-13,NOC,NORTHROP GRUMMAN ,Industrials,Industrials,3.9,9.7,5.8
2026-04-13,NORW,GLBL X MSCI NORWAY ETF,,Foreign,9.9,64.5,54.6
2026-04-13,NOV,NOV INC.,,MR Discretion,15.0,68.8,53.8
2026-04-13,NOW,"SERVICENOW, INC.",Information Technology,Information Technology,11.9,15.3,3.4
2026-04-13,NQ=F,NASDAQ 100 FUTURES,,Futures,11.9,67.7,55.8
2026-04-13,NRG,"NRG ENERGY, INC.",Utilities,Utilities,6.8,77.6,70.8
2026-04-13,NSC,NORFOLK SOUTHERN ,Industrials,Industrials,7.6,53.8,46.2
2026-04-13,NTAP,"NETAPP, INC.",Information Technology,Information Technology,4.8,43.5,38.7
2026-04-13,NTRS,NORTHERN TRUST ,Financials,Financials,3.2,91.9,88.7
2026-04-13,NUE,NUCOR ,Materials,Materials,11.1,98.6,87.5
2026-04-13,NVDA,NVIDIA ,Information Technology,Information Technology,8.7,60.5,51.8
2026-04-13,NVR,"NVR, INC.",Consumer Discretionary,Consumer Discretionary,2.8,85.1,82.3
2026-04-13,NWSA,NEWS CORP.,Communication Services,Communication Services,9.9,86.3,76.4
2026-04-13,NXPI,NXP SEMICONDUCTORS NV,Information Technology,Information Technology,9.9,88.3,78.4
