Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-02-13,NOC,NORTHROP GRUMMAN ,Industrials,Industrials,44.0,9.0,-35.0
2026-02-13,NORW,GLBL X MSCI NORWAY ETF,,Foreign,-8.0,-35.0,-27.0
2026-02-13,NOV,NOV INC.,,MR Discretion,22.0,-5.0,-27.0
2026-02-13,NOW,"SERVICENOW, INC.",Information Technology,Information Technology,51.0,-12.0,-63.0
2026-02-13,NQ=F,NASDAQ 100 FUTURES,,Futures,43.0,39.0,-4.0
2026-02-13,NRG,"NRG ENERGY, INC.",Utilities,Utilities,-22.0,-12.0,10.0
2026-02-13,NSC,NORFOLK SOUTHERN ,Industrials,Industrials,-79.0,-57.0,22.0
2026-02-13,NTAP,"NETAPP, INC.",Information Technology,Information Technology,-39.0,-22.0,17.0
2026-02-13,NTRS,NORTHERN TRUST ,Financials,Financials,-6.0,-16.0,-10.0
2026-02-13,NUE,NUCOR ,Materials,Materials,28.0,25.0,-3.0
2026-02-13,NVDA,NVIDIA ,Information Technology,Information Technology,50.0,4.0,-46.0
2026-02-13,NVR,"NVR, INC.",Consumer Discretionary,Consumer Discretionary,30.0,26.0,-4.0
2026-02-13,NWSA,NEWS CORP.,Communication Services,Communication Services,31.0,0.0,-31.0
2026-02-13,NXPI,NXP SEMICONDUCTORS NV,Information Technology,Information Technology,73.0,15.0,-58.0
2026-02-13,O,REALTY INCOME ,Real Estate,Real Estate,-40.0,-22.0,18.0
2026-02-13,ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,Industrials,6.0,-37.0,-43.0
2026-02-13,OEF,ISHARES:S&P 100,,Sector & Style ETFs,12.0,23.0,11.0
2026-02-13,OKE,"ONEOK, INC.",Energy,Energy,-32.0,-60.0,-28.0
2026-02-13,OMC,OMNICOM GROUP INC.,Communication Services,Communication Services,91.0,-0.0,-91.0
2026-02-13,ON,ON SEMICONDUCTOR ,Information Technology,Information Technology,29.0,-17.0,-46.0
2026-02-13,ORCL,ORACLE ,Information Technology,Information Technology,22.0,33.0,11.0
2026-02-13,ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,Consumer Discretionary,-14.0,10.0,24.0
2026-02-13,OTIS,OTIS WORLDWIDE ,Industrials,Industrials,-2.0,-28.0,-26.0
2026-02-13,OXY,OCCIDENTAL PETROLEUM ,Energy,Energy,-39.0,-33.0,6.0
2026-02-13,PAM,PAMPA ENERGIA SA,,MR Discretion,10.0,9.0,-1.0
2026-02-13,PANW,"PALO ALTO NETWORKS, INC.",Information Technology,Information Technology,2.0,31.0,29.0
2026-02-13,PAYC,"PAYCOM SOFTWARE, INC.",Industrials,Industrials,-15.0,23.0,38.0
2026-02-13,PAYX,"PAYCHEX, INC.",Industrials,Industrials,-43.0,-57.0,-14.0
2026-02-13,PBR,BRAZILIAN PETROLEUM  - PETROBRAS,,MR Discretion,-83.0,-65.0,18.0
2026-02-13,PCAR,PACCAR INC,Industrials,Industrials,67.0,5.0,-62.0
2026-02-13,PCG,PG&E ,Utilities,Utilities,17.0,-17.0,-34.0
